"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Andover","0901301080","2010-2014","Male","Number","Employed or Enrolled Youth",89
"Andover","0901301080","2010-2014","Male","Number","Margins of Error",50
"Andover","0901301080","2010-2014","Male","Percent","Employed or Enrolled Youth",89.9
"Andover","0901301080","2010-2014","Male","Percent","Margins of Error",71.14
"Andover","0901301080","2011-2015","Total","Number","Employed or Enrolled Youth",240
"Andover","0901301080","2011-2015","Total","Number","Margins of Error",92
"Andover","0901301080","2011-2015","Total","Percent","Employed or Enrolled Youth",95.62
"Andover","0901301080","2011-2015","Total","Percent","Margins of Error",49.37
"Andover","0901301080","2011-2015","Female","Number","Employed or Enrolled Youth",139
"Andover","0901301080","2011-2015","Female","Number","Margins of Error",76
"Andover","0901301080","2011-2015","Female","Percent","Employed or Enrolled Youth",100
"Andover","0901301080","2011-2015","Female","Percent","Margins of Error",76.27
"Andover","0901301080","2011-2015","Male","Number","Employed or Enrolled Youth",101
"Andover","0901301080","2011-2015","Male","Number","Margins of Error",52
"Andover","0901301080","2011-2015","Male","Percent","Employed or Enrolled Youth",90.18
"Andover","0901301080","2011-2015","Male","Percent","Margins of Error",64.5
"Andover","0901301080","2012-2016","Total","Number","Employed or Enrolled Youth",267
"Andover","0901301080","2012-2016","Total","Number","Margins of Error",107
"Andover","0901301080","2012-2016","Total","Percent","Employed or Enrolled Youth",95.36
"Andover","0901301080","2012-2016","Total","Percent","Margins of Error",49.88
"Andover","0901301080","2012-2016","Female","Number","Employed or Enrolled Youth",194
"Andover","0901301080","2012-2016","Female","Number","Margins of Error",90
"Andover","0901301080","2012-2016","Female","Percent","Employed or Enrolled Youth",100
"Andover","0901301080","2012-2016","Female","Percent","Margins of Error",64.85
"Andover","0901301080","2012-2016","Male","Number","Employed or Enrolled Youth",73
"Andover","0901301080","2012-2016","Male","Number","Margins of Error",58
"Andover","0901301080","2012-2016","Male","Percent","Employed or Enrolled Youth",84.88
"Andover","0901301080","2012-2016","Male","Percent","Margins of Error",95.3
"Andover","0901301080","2013-2017","Total","Number","Employed or Enrolled Youth",268
"Andover","0901301080","2013-2017","Total","Number","Margins of Error",103
"Andover","0901301080","2013-2017","Total","Percent","Employed or Enrolled Youth",95.04
"Andover","0901301080","2013-2017","Total","Percent","Margins of Error",48.25
"Andover","0901301080","2013-2017","Female","Number","Employed or Enrolled Youth",210
"Andover","0901301080","2013-2017","Female","Number","Margins of Error",92
"Andover","0901301080","2013-2017","Female","Percent","Employed or Enrolled Youth",100
"Andover","0901301080","2013-2017","Female","Percent","Margins of Error",62.02
"Andover","0901301080","2013-2017","Male","Number","Employed or Enrolled Youth",58
"Andover","0901301080","2013-2017","Male","Number","Margins of Error",45
"Andover","0901301080","2013-2017","Male","Percent","Employed or Enrolled Youth",80.56
"Andover","0901301080","2013-2017","Male","Percent","Margins of Error",83.23
"Andover","0901301080","2014-2018","Total","Number","Employed or Enrolled Youth",240
"Andover","0901301080","2014-2018","Total","Number","Margins of Error",123
"Andover","0901301080","2014-2018","Total","Percent","Employed or Enrolled Youth",100
"Andover","0901301080","2014-2018","Total","Percent","Margins of Error",71.94
"Andover","0901301080","2014-2018","Female","Number","Employed or Enrolled Youth",169
"Andover","0901301080","2014-2018","Female","Number","Margins of Error",113
"Andover","0901301080","2014-2018","Female","Percent","Employed or Enrolled Youth",100
"Andover","0901301080","2014-2018","Female","Percent","Margins of Error",93.99
"Andover","0901301080","2014-2018","Male","Number","Employed or Enrolled Youth",71
