GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate:,Margin of Error; Male: - Not enrolled in school: - High school graduate:,Estimate; Male: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Employed,Estimate; Male: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate:,Margin of Error; Female: - Not enrolled in school: - High school graduate:,Estimate; Female: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Employed,Estimate; Female: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,202964,1073,103735,1009,89332,1100,24097,975,8843,658,56392,1085,14403,863,9710,686,5782,568,1805,289,2123,315,4693,458,1593,276,1200,241,1900,311,99229,789,90193,1029,30561,1038,8316,584,51316,1233,9036,651,5947,533,3492,416,1032,237,1423,301,3089,415,966,240,681,171,1442,309
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",930,158,577,152,549,150,134,70,85,78,330,101,28,24,28,24,20,21,8,12,0,19,0,19,0,19,0,19,0,19,353,74,339,75,124,65,26,29,189,59,14,23,14,23,14,23,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",8612,579,4382,427,3349,381,447,161,594,179,2308,316,1033,209,503,160,145,91,176,87,182,102,530,166,153,96,186,100,191,94,4230,383,3459,338,837,186,323,139,2299,295,771,176,487,158,277,114,142,88,68,60,284,125,90,61,67,51,127,94
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",790,190,368,116,334,104,83,62,89,58,162,73,34,42,34,42,34,42,0,19,0,19,0,19,0,19,0,19,0,19,422,143,358,127,136,82,16,22,206,88,64,84,0,19,0,19,0,19,0,19,64,84,64,84,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",4604,447,2408,262,1979,278,854,197,325,154,800,186,429,140,276,117,93,58,102,92,81,93,153,96,91,82,47,58,15,19,2196,340,2001,317,911,202,187,96,903,199,195,121,151,115,46,60,31,50,74,87,44,48,40,48,0,29,4,10
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1272,197,722,152,699,152,88,55,54,47,557,142,23,25,10,16,0,23,0,23,10,16,13,20,0,23,13,20,0,23,550,112,550,112,76,59,34,31,440,110,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",309,82,184,60,184,60,48,35,19,20,117,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,125,59,125,59,46,39,0,17,79,49,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",5163,477,2321,256,2165,244,491,158,199,101,1475,202,156,83,129,80,42,36,0,29,87,69,27,26,0,29,8,13,19,22,2842,367,2757,376,979,236,151,103,1627,258,85,57,41,36,41,36,0,29,0,29,44,42,0,29,24,37,20,20
