GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate:,Margin of Error; Male: - Not enrolled in school: - High school graduate:,Estimate; Male: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Employed,Estimate; Male: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate:,Margin of Error; Female: - Not enrolled in school: - High school graduate:,Estimate; Female: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Employed,Estimate; Female: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,201273,1439,103389,1023,89148,1260,26272,1132,9197,591,53679,1304,14241,751,8928,627,5686,490,1364,260,1878,270,5313,572,1806,358,1204,247,2303,364,97884,1051,88249,1170,32601,941,7721,578,47927,1107,9635,621,6291,538,4000,415,980,209,1311,305,3344,482,945,273,655,184,1744,400
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",865,171,590,142,525,131,169,72,42,43,314,103,65,44,65,44,49,39,16,20,0,123,0,123,0,123,0,123,0,123,275,94,263,89,85,45,19,23,159,68,12,18,12,18,12,18,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",9065,695,4761,391,3878,365,748,217,579,173,2551,307,883,217,416,141,157,93,92,69,167,95,467,178,127,98,135,76,205,91,4304,487,3434,458,966,228,374,162,2094,339,870,208,577,177,284,134,128,107,165,94,293,125,67,58,21,29,205,110
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",976,176,499,130,422,103,150,78,74,44,198,89,77,79,50,70,10,17,0,123,40,67,27,44,0,123,0,123,27,44,477,139,436,141,165,84,14,22,257,85,41,56,0,123,0,123,0,123,0,123,41,56,41,56,0,123,0,123
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",3888,427,2187,338,1894,347,850,244,210,103,834,227,293,104,193,95,112,62,44,56,37,46,100,82,68,65,32,49,0,123,1701,286,1368,267,405,133,196,111,767,187,333,210,241,184,172,176,0,123,69,53,92,79,62,75,0,123,30,34
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1231,176,654,126,639,126,105,53,8,14,526,124,15,17,6,10,0,123,0,123,6,10,9,14,0,123,9,14,0,123,577,142,534,109,91,57,26,29,417,111,43,64,43,64,0,123,43,64,0,123,0,123,0,123,0,123,0,123
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",377,97,207,64,207,64,48,42,15,14,144,61,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,170,76,170,76,102,54,0,123,68,43,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",5958,823,2422,333,2372,335,623,186,181,130,1568,330,50,32,20,20,20,20,0,123,0,123,30,29,0,123,0,123,30,29,3536,569,3494,568,1712,366,155,109,1627,318,42,37,42,37,42,37,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",2730,283,1325,184,1224,176,238,103,78,72,908,126,101,73,101,73,12,19,78,68,11,18,0,123,0,123,0,123,0,123,1405,245,1371,233,273,128,24,26,1074,200,34,47,28,45,0,123,0,123,28,45,6,9,6,9,0,123,0,123
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",935,217,570,202,551,199,90,56,29,32,432,175,19,28,19,28,19,28,0,123,0,123,0,123,0,123,0,123,0,123,365,123,365,123,204,97,0,123,161,76,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",1123,217,603,184,596,184,71,50,37,43,488,169,7,11,0,123,0,123,0,123,0,123,7,11,0,123,7,11,0,123,520,128,520,128,227,92,0,123,293,96,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",705,157,409,93,374,93,83,41,30,31,261,78,35,22,27,21,12,19,15,17,0,123,8,13,0,123,0,123,8,13,296,101,219,89,62,45,14,20,143,72,77,67,77,67,27,26,0,123,50,61,0,123,0,123,0,123,0,123
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",1698,218,1000,179,827,152,284,96,65,42,478,123,173,91,137,87,89,78,12,21,36,33,36,28,0,123,0,123,36,28,698,145,682,144,185,64,78,71,419,121,16,22,16,22,16,22,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",2850,425,1257,239,1058,223,203,96,88,57,767,185,199,112,107,68,44,40,39,62,24,29,92,87,47,56,0,123,45,70,1593,327,1385,290,456,139,97,66,832,203,208,105,172,101,66,50,42,41,64,71,36,30,0,123,0,123,36,30
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",498,138,222,85,222,85,84,56,13,21,125,69,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,276,119,276,119,90,63,17,28,169,73,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",1334,208,706,142,674,142,207,78,50,52,417,122,32,30,6,10,0,123,0,123,6,10,26,28,0,123,0,123,26,28,628,136,621,135,236,75,32,34,353,120,7,11,7,11,7,11,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",1679,276,866,167,810,157,236,95,39,30,535,128,56,50,31,32,31,32,0,123,0,123,25,38,25,38,0,123,0,123,813,222,786,221,358,146,82,53,346,133,27,31,27,31,10,16,17,27,0,123,0,123,0,123,0,123,0,123
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",224,109,115,56,107,55,19,23,0,123,88,53,8,12,8,12,8,12,0,123,0,123,0,123,0,123,0,123,0,123,109,75,98,75,58,51,0,123,40,40,11,16,0,123,0,123,0,123,0,123,11,16,0,123,0,123,11,16
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",4674,547,2666,474,2139,396,626,189,230,125,1283,294,527,208,195,103,188,104,7,13,0,123,332,168,191,147,38,61,103,91,2008,305,1752,244,520,142,233,122,999,186,256,189,121,78,80,58,23,40,18,31,135,166,35,58,0,123,100,159
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",2522,312,1205,196,1144,195,350,122,153,60,641,157,61,41,50,37,25,25,12,16,13,22,11,18,11,18,0,123,0,123,1317,262,1106,232,459,138,65,57,582,172,211,133,130,93,119,91,0,123,11,13,81,109,81,109,0,123,0,123
