GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate:,Margin of Error; Male: - Not enrolled in school: - High school graduate:,Estimate; Male: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Employed,Estimate; Male: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate:,Margin of Error; Female: - Not enrolled in school: - High school graduate:,Estimate; Female: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Employed,Estimate; Female: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,202458,1300,103833,808,89032,1109,25084,872,8905,619,55043,1117,14801,785,9371,623,5685,447,1684,286,2002,310,5430,510,1823,342,1451,253,2156,331,98625,890,89339,1085,31560,957,8304,670,49475,1135,9286,721,6120,544,3607,384,1028,240,1485,276,3166,481,950,253,515,168,1701,332
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",904,178,584,168,518,162,138,59,69,66,311,118,66,47,66,47,59,47,7,14,0,92,0,92,0,92,0,92,0,92,320,88,308,82,129,57,24,29,155,60,12,19,12,19,12,19,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",8959,588,4841,412,3753,397,664,161,558,166,2531,345,1088,244,463,132,124,74,160,82,179,92,625,192,150,105,222,104,253,101,4118,380,3310,357,876,200,340,150,2094,270,808,195,506,150,254,111,137,99,115,88,302,116,107,71,46,50,149,83
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",962,208,496,148,406,126,148,80,66,43,192,87,90,74,63,59,29,30,0,92,34,55,27,44,0,92,0,92,27,44,466,142,417,139,154,89,17,25,246,89,49,67,0,92,0,92,0,92,0,92,49,67,49,67,0,92,0,92
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",4147,558,2220,378,1898,341,761,227,308,163,829,185,322,151,206,109,83,56,99,86,24,38,116,87,65,65,49,60,2,6,1927,404,1610,365,643,188,163,92,804,314,317,170,255,156,169,126,10,19,76,85,62,69,38,56,0,92,24,30
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1265,197,664,122,647,123,89,54,0,92,558,113,17,20,7,13,0,92,0,92,7,13,10,16,0,92,10,16,0,92,601,133,571,122,88,53,35,26,448,112,30,41,30,41,0,92,30,41,0,92,0,92,0,92,0,92,0,92
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",327,88,189,64,189,64,45,31,8,12,136,56,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,138,54,138,54,75,35,0,92,63,45,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",5335,755,2194,326,2080,327,434,147,153,100,1493,302,114,64,74,51,37,33,0,92,37,41,40,28,0,92,12,19,28,26,3141,542,3084,547,1179,318,179,117,1726,386,57,39,40,36,40,36,0,92,0,92,17,19,0,92,0,92,17,19
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",2801,324,1266,199,1169,195,214,95,62,52,893,156,97,76,97,76,20,25,77,70,0,92,0,92,0,92,0,92,0,92,1535,280,1480,250,275,111,78,64,1127,201,55,59,34,53,0,92,0,92,34,53,21,29,6,10,0,92,15,23
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",1173,211,675,190,647,177,143,89,31,33,473,163,28,35,20,31,20,31,0,92,0,92,8,17,0,92,0,92,8,17,498,126,498,126,241,108,14,22,243,99,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",1269,211,665,170,657,170,122,79,14,22,521,146,8,12,0,92,0,92,0,92,0,92,8,12,0,92,8,12,0,92,604,151,599,149,224,96,0,92,375,125,5,9,0,92,0,92,0,92,0,92,5,9,0,92,0,92,5,9
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",782,169,439,109,398,101,85,46,32,30,281,97,41,33,29,27,11,17,18,22,0,92,12,19,0,92,0,92,12,19,343,103,276,102,95,54,14,22,167,78,67,53,67,53,29,30,0,92,38,47,0,92,0,92,0,92,0,92
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",1841,234,1074,202,895,176,282,105,57,43,556,126,179,102,157,100,120,103,21,32,16,17,22,19,0,92,0,92,22,19,767,157,731,149,225,81,81,86,425,125,36,36,36,36,36,36,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",2608,352,1233,247,1068,224,198,97,127,69,743,184,165,107,109,78,36,33,45,62,28,37,56,62,56,62,0,92,0,92,1375,225,1211,214,374,117,154,62,683,168,164,93,147,93,56,46,36,30,55,75,17,22,0,92,0,92,17,22
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",527,142,264,89,264,89,94,52,32,37,138,70,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,263,92,263,92,83,56,48,44,132,64,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",1215,223,632,152,605,152,193,70,53,55,359,119,27,29,0,92,0,92,0,92,0,92,27,29,0,92,0,92,27,29,583,131,583,131,237,81,22,24,324,104,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",1798,351,823,192,712,161,160,76,40,32,512,151,111,75,73,55,56,50,17,26,0,92,38,53,26,42,12,18,0,92,975,255,934,255,339,127,68,48,527,209,41,43,41,43,18,21,0,92,23,38,0,92,0,92,0,92,0,92
