GEO.id,GEO.id2,GEO.display-label,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Enrolled in school,Margin of Error!!Total!!Male!!Enrolled in school,Estimate!!Total!!Male!!Enrolled in school!!Employed,Margin of Error!!Total!!Male!!Enrolled in school!!Employed,Estimate!!Total!!Male!!Enrolled in school!!Unemployed,Margin of Error!!Total!!Male!!Enrolled in school!!Unemployed,Estimate!!Total!!Male!!Enrolled in school!!Not in labor force,Margin of Error!!Total!!Male!!Enrolled in school!!Not in labor force,Estimate!!Total!!Male!!Not enrolled in school,Margin of Error!!Total!!Male!!Not enrolled in school,Estimate!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency)!!Employed,Margin of Error!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency)!!Employed,Estimate!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency)!!Unemployed,Margin of Error!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency)!!Unemployed,Estimate!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency)!!Not in labor force,Margin of Error!!Total!!Male!!Not enrolled in school!!High school graduate (includes equivalency)!!Not in labor force,Estimate!!Total!!Male!!Not enrolled in school!!Not high school graduate,Margin of Error!!Total!!Male!!Not enrolled in school!!Not high school graduate,Estimate!!Total!!Male!!Not enrolled in school!!Not high school graduate!!Employed,Margin of Error!!Total!!Male!!Not enrolled in school!!Not high school graduate!!Employed,Estimate!!Total!!Male!!Not enrolled in school!!Not high school graduate!!Unemployed,Margin of Error!!Total!!Male!!Not enrolled in school!!Not high school graduate!!Unemployed,Estimate!!Total!!Male!!Not enrolled in school!!Not high school graduate!!Not in labor force,Margin of Error!!Total!!Male!!Not enrolled in school!!Not high school graduate!!Not in labor force,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Enrolled in school,Margin of Error!!Total!!Female!!Enrolled in school,Estimate!!Total!!Female!!Enrolled in school!!Employed,Margin of Error!!Total!!Female!!Enrolled in school!!Employed,Estimate!!Total!!Female!!Enrolled in school!!Unemployed,Margin of Error!!Total!!Female!!Enrolled in school!!Unemployed,Estimate!!Total!!Female!!Enrolled in school!!Not in labor force,Margin of Error!!Total!!Female!!Enrolled in school!!Not in labor force,Estimate!!Total!!Female!!Not enrolled in school,Margin of Error!!Total!!Female!!Not enrolled in school,Estimate!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency)!!Employed,Margin of Error!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency)!!Employed,Estimate!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency)!!Unemployed,Margin of Error!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency)!!Unemployed,Estimate!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency)!!Not in labor force,Margin of Error!!Total!!Female!!Not enrolled in school!!High school graduate (includes equivalency)!!Not in labor force,Estimate!!Total!!Female!!Not enrolled in school!!Not high school graduate,Margin of Error!!Total!!Female!!Not enrolled in school!!Not high school graduate,Estimate!!Total!!Female!!Not enrolled in school!!Not high school graduate!!Employed,Margin of Error!!Total!!Female!!Not enrolled in school!!Not high school graduate!!Employed,Estimate!!Total!!Female!!Not enrolled in school!!Not high school graduate!!Unemployed,Margin of Error!!Total!!Female!!Not enrolled in school!!Not high school graduate!!Unemployed,Estimate!!Total!!Female!!Not enrolled in school!!Not high school graduate!!Not in labor force,Margin of Error!!Total!!Female!!Not enrolled in school!!Not high school graduate!!Not in labor force
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",709,173,402,108,330,98,162,63,20,26,148,74,72,49,72,49,61,45,11,18,0,19,0,19,0,19,0,19,0,19,307,107,296,108,115,59,10,16,171,88,11,17,0,19,0,19,0,19,0,19,11,17,0,19,0,19,11,17
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",206,112,122,89,98,67,50,51,0,17,48,46,24,35,24,35,24,35,0,17,0,17,0,17,0,17,0,17,0,17,84,83,84,83,61,76,0,17,23,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",897,182,435,129,336,109,137,67,6,11,193,86,99,70,91,69,85,68,0,19,6,11,8,14,0,19,0,19,8,14,462,122,412,116,200,99,13,15,199,83,50,50,50,50,37,48,13,16,0,19,0,19,0,19,0,19,0,19
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",1480,282,570,164,382,139,97,76,41,43,244,96,188,97,148,92,75,57,36,39,37,60,40,41,18,21,0,26,22,35,910,218,674,209,180,90,124,97,370,191,236,119,186,105,171,104,0,26,15,23,50,62,29,47,0,26,21,37
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",694,139,294,94,243,85,56,31,5,8,182,80,51,40,45,39,16,17,0,19,29,41,6,9,6,9,0,19,0,19,400,107,359,101,103,49,6,9,250,81,41,36,41,36,29,31,4,7,8,14,0,19,0,19,0,19,0,19
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",124,49,81,37,54,34,6,9,5,10,43,35,27,21,27,21,14,15,0,12,13,14,0,12,0,12,0,12,0,12,43,32,43,32,13,20,0,12,30,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",272,99,142,57,109,52,30,27,7,11,72,42,33,31,33,31,33,31,0,12,0,12,0,12,0,12,0,12,0,12,130,69,109,61,45,37,13,21,51,40,21,23,21,23,11,16,0,12,10,16,0,12,0,12,0,12,0,12
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",628,180,306,119,302,119,59,46,33,26,210,104,4,6,3,5,0,19,3,5,0,19,1,2,0,19,0,19,1,2,322,125,296,116,167,81,0,19,129,78,26,35,26,35,19,31,7,13,0,19,0,19,0,19,0,19,0,19
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",85,28,50,21,50,21,4,6,0,12,46,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,35,20,35,20,0,12,0,12,35,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
