GEO.id,GEO.id2,GEO.display-label,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Enrolled in school:,Margin of Error!!Total:!!Male:!!Enrolled in school:,Estimate!!Total:!!Male:!!Enrolled in school:!!Employed,Margin of Error!!Total:!!Male:!!Enrolled in school:!!Employed,Estimate!!Total:!!Male:!!Enrolled in school:!!Unemployed,Margin of Error!!Total:!!Male:!!Enrolled in school:!!Unemployed,Estimate!!Total:!!Male:!!Enrolled in school:!!Not in labor force,Margin of Error!!Total:!!Male:!!Enrolled in school:!!Not in labor force,Estimate!!Total:!!Male:!!Not enrolled in school:,Margin of Error!!Total:!!Male:!!Not enrolled in school:,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Employed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Employed,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Enrolled in school:,Margin of Error!!Total:!!Female:!!Enrolled in school:,Estimate!!Total:!!Female:!!Enrolled in school:!!Employed,Margin of Error!!Total:!!Female:!!Enrolled in school:!!Employed,Estimate!!Total:!!Female:!!Enrolled in school:!!Unemployed,Margin of Error!!Total:!!Female:!!Enrolled in school:!!Unemployed,Estimate!!Total:!!Female:!!Enrolled in school:!!Not in labor force,Margin of Error!!Total:!!Female:!!Enrolled in school:!!Not in labor force,Estimate!!Total:!!Female:!!Not enrolled in school:,Margin of Error!!Total:!!Female:!!Not enrolled in school:,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Employed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Employed,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",910,240,537,171,519,176,140,65,62,42,317,145,18,28,18,28,18,28,0,19,0,19,0,19,0,19,0,19,0,19,373,127,330,128,113,56,0,19,217,118,43,43,43,43,36,41,0,19,7,11,0,19,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",9184,713,4465,530,3768,483,849,261,498,164,2421,348,697,180,385,128,199,119,51,49,135,76,312,136,76,70,140,101,96,66,4719,429,4205,430,1205,275,501,146,2499,339,514,163,362,145,168,92,120,92,74,53,152,71,53,44,36,32,63,54
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",926,202,491,132,459,129,86,50,0,19,373,110,32,34,14,21,0,19,0,19,14,21,18,27,18,27,0,19,0,19,435,151,435,151,233,127,0,19,202,84,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",4208,451,2212,329,1786,253,577,183,195,117,1014,222,426,183,267,145,217,141,28,30,22,32,159,133,87,113,29,39,43,70,1996,337,1890,346,617,205,255,124,1018,261,106,87,102,88,102,88,0,29,0,29,4,9,0,29,0,29,4,9
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1427,204,742,151,722,152,116,70,0,23,606,135,20,26,20,26,20,26,0,23,0,23,0,23,0,23,0,23,0,23,685,165,632,155,102,71,23,33,507,152,53,52,40,49,0,23,40,49,0,23,13,19,0,23,0,23,13,19
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",359,97,192,78,170,72,0,17,0,17,170,72,22,34,22,34,0,17,0,17,22,34,0,17,0,17,0,17,0,17,167,73,133,61,11,17,0,17,122,63,34,50,34,50,34,50,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",5699,484,2448,272,2367,265,509,149,127,69,1731,233,81,59,64,56,64,56,0,29,0,29,17,15,0,29,0,29,17,15,3251,359,3217,361,828,203,156,72,2233,283,34,30,15,24,15,24,0,29,0,29,19,16,11,17,0,29,8,12
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",3512,367,1747,289,1623,293,262,130,64,41,1297,246,124,85,86,70,57,63,21,31,8,12,38,44,0,29,0,29,38,44,1765,252,1619,234,298,111,32,32,1289,192,146,104,124,99,91,90,18,29,15,23,22,26,0,29,0,29,22,26
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",1237,263,577,172,577,172,151,112,23,36,403,149,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,660,205,640,203,284,188,29,44,327,158,20,33,20,33,20,33,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",1292,212,705,137,696,139,74,48,7,12,615,142,9,13,0,23,0,23,0,23,0,23,9,13,0,23,0,23,9,13,587,155,569,153,57,59,0,23,512,152,18,27,18,27,0,23,0,23,18,27,0,23,0,23,0,23,0,23
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",756,206,471,152,434,143,81,54,11,17,342,136,37,35,37,35,26,31,11,18,0,19,0,19,0,19,0,19,0,19,285,126,270,125,90,63,13,20,167,83,15,23,15,23,15,23,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",1641,228,944,142,880,137,193,72,42,32,645,146,64,46,58,45,28,31,0,23,30,31,6,11,0,23,0,23,6,11,697,193,684,191,141,78,33,37,510,169,13,21,13,21,13,21,0,23,0,23,0,23,0,23,0,23,0,23
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",4056,493,2076,327,1716,302,288,107,171,104,1257,275,360,151,296,148,135,94,97,83,64,58,64,32,37,27,9,15,18,22,1980,348,1765,322,606,170,187,135,972,204,215,129,155,103,116,94,39,50,0,29,60,66,0,29,34,48,26,45
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",533,126,320,100,292,97,81,66,0,17,211,84,28,31,28,31,13,19,15,24,0,17,0,17,0,17,0,17,0,17,213,95,213,95,52,53,0,17,161,83,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",1347,254,666,171,615,170,65,47,23,28,527,167,51,47,38,42,18,29,0,23,20,31,13,20,0,23,0,23,13,20,681,179,667,180,199,96,0,23,468,157,14,23,14,23,0,23,0,23,14,23,0,23,0,23,0,23,0,23
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",1757,326,974,245,872,234,249,135,43,51,580,203,102,69,102,69,20,16,19,29,63,66,0,26,0,26,0,26,0,26,783,200,714,192,255,122,44,41,415,126,69,73,69,73,57,71,0,26,12,19,0,26,0,26,0,26,0,26
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",167,83,42,37,42,37,17,26,0,12,25,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,125,74,116,72,12,18,0,12,104,70,9,14,9,14,9,14,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",5396,518,2569,305,2206,291,676,186,211,109,1319,250,363,131,285,117,169,86,93,77,23,32,78,71,78,71,0,29,0,29,2827,422,2557,441,894,256,269,177,1394,323,270,119,172,91,103,72,37,38,32,53,98,96,38,55,12,19,48,79
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",2286,371,1255,249,1105,234,254,109,168,100,683,166,150,80,121,72,97,66,24,27,0,29,29,36,0,29,0,29,29,36,1031,251,988,245,383,152,133,99,472,158,43,41,36,35,36,35,0,29,0,29,7,16,0,29,0,29,7,16
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",2088,346,1112,290,1007,270,208,93,44,49,755,221,105,84,105,84,81,76,0,26,24,35,0,26,0,26,0,26,0,26,976,203,927,192,510,157,9,15,408,117,49,55,49,55,14,22,35,50,0,26,0,26,0,26,0,26,0,26
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",680,128,318,79,301,78,71,56,0,19,230,61,17,25,17,25,17,25,0,19,0,19,0,19,0,19,0,19,0,19,362,117,355,118,106,55,0,19,249,95,7,14,7,14,7,14,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",1647,275,917,188,878,176,125,75,78,69,675,148,39,33,16,24,16,24,0,23,0,23,23,24,0,23,6,11,17,20,730,156,641,128,70,44,0,23,571,128,89,94,44,47,19,29,0,23,25,38,45,71,0,23,0,23,45,71
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",1205,217,670,163,665,165,156,72,18,22,491,144,5,7,0,19,0,19,0,19,0,19,5,7,0,19,0,19,5,7,535,134,518,130,148,70,0,19,370,110,17,29,0,19,0,19,0,19,0,19,17,29,0,19,0,19,17,29
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",920,176,547,161,511,164,127,73,32,36,352,146,36,36,18,23,18,23,0,19,0,19,18,27,18,27,0,19,0,19,373,116,373,116,172,101,0,19,201,77,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",1186,235,695,191,673,199,156,72,19,31,498,190,22,35,22,35,22,35,0,23,0,23,0,23,0,23,0,23,0,23,491,162,471,159,132,70,0,23,339,145,20,33,0,23,0,23,0,23,0,23,20,33,20,33,0,23,0,23
