GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,205866,1306,104983,1061,91160,1425,23846,1089,8733,628,58581,1366,13823,890,9893,640,5737,527,2009,372,2147,390,3930,493,1272,263,1080,220,1578,321,100883,861,91975,1100,29870,947,8489,656,53616,1263,8908,647,6448,530,3727,396,988,205,1733,334,2460,384,641,177,545,156,1274,278
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",1186,195,680,148,594,148,218,89,48,56,328,116,86,55,68,54,55,50,13,20,0,19,18,27,0,19,18,27,0,19,506,165,463,126,204,71,0,19,259,102,43,62,43,62,43,62,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",8668,656,4476,511,3444,413,578,217,762,213,2104,273,1032,251,436,136,151,75,147,86,138,77,596,192,164,99,202,94,230,114,4192,434,3555,387,941,225,443,145,2171,319,637,249,297,116,117,71,169,88,11,17,340,213,49,50,103,75,188,197
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",699,149,383,113,350,105,116,66,53,50,181,73,33,38,13,20,13,20,0,19,0,19,20,32,0,19,0,19,20,32,316,96,316,96,73,47,30,35,213,79,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",5147,516,2357,377,1984,357,747,231,352,138,885,202,373,144,240,107,89,83,59,62,92,104,133,91,72,72,33,37,28,37,2790,404,2585,383,1152,247,249,113,1184,258,205,117,203,117,73,61,42,49,88,96,2,5,0,28,0,28,2,5
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1425,215,681,163,667,163,60,46,85,67,522,152,14,22,0,22,0,22,0,22,0,22,14,22,0,22,14,22,0,22,744,141,744,141,84,53,33,38,627,138,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",431,126,249,93,249,93,104,68,25,30,120,62,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,182,79,182,79,25,30,13,19,144,65,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",5146,497,2298,288,2076,274,480,184,151,81,1445,224,222,105,205,98,42,33,35,47,128,86,17,18,0,28,9,13,8,13,2848,373,2781,377,769,216,64,53,1948,255,67,53,11,18,0,28,0,28,11,18,56,50,9,14,27,42,20,22
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",3085,258,1613,215,1438,190,146,61,70,57,1222,164,175,101,161,99,87,62,60,72,14,22,14,19,0,28,0,28,14,19,1472,214,1374,203,221,83,70,52,1083,187,98,82,72,78,25,29,0,28,47,73,26,22,8,13,0,28,18,18
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",1232,273,562,142,517,134,128,83,14,23,375,122,45,50,28,41,28,41,0,19,0,19,17,25,16,25,0,19,1,3,670,241,652,240,279,169,38,48,335,145,18,29,18,29,0,19,0,19,18,29,0,19,0,19,0,19,0,19
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",1614,234,745,178,726,179,81,76,0,22,645,169,19,28,19,28,0,22,0,22,19,28,0,22,0,22,0,22,0,22,869,175,861,178,188,83,11,17,662,168,8,13,0,22,0,22,0,22,0,22,8,13,0,22,0,22,8,13
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",921,187,482,134,450,128,115,59,40,36,295,96,32,31,0,19,0,19,0,19,0,19,32,31,20,24,0,19,12,18,439,144,389,139,156,73,27,29,206,103,50,52,43,51,43,51,0,19,0,19,7,11,0,19,7,11,0,19
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",1810,226,972,178,945,178,333,131,83,64,529,131,27,29,27,29,14,21,0,22,13,20,0,22,0,22,0,22,0,22,838,175,817,184,261,99,95,84,461,110,21,23,21,23,21,23,0,22,0,22,0,22,0,22,0,22,0,22
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",3591,491,1937,381,1545,289,445,160,139,101,961,211,392,180,236,166,167,157,38,41,31,31,156,111,78,78,0,28,78,79,1654,271,1475,263,579,165,150,84,746,210,179,99,86,64,52,44,12,20,22,34,93,75,22,23,10,15,61,71
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",535,127,314,99,286,100,94,59,18,22,174,83,28,32,28,32,28,32,0,17,0,17,0,17,0,17,0,17,0,17,221,74,221,74,76,47,34,28,111,54,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",1514,217,782,159,766,161,202,75,44,38,520,138,16,19,7,11,0,22,0,22,7,11,9,15,0,22,0,22,9,15,732,173,722,172,310,120,0,22,412,115,10,15,10,15,0,22,0,22,10,15,0,22,0,22,0,22,0,22
