GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate:,Margin of Error; Male: - Not enrolled in school: - High school graduate:,Estimate; Male: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Employed,Estimate; Male: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate:,Margin of Error; Female: - Not enrolled in school: - High school graduate:,Estimate; Female: - Not enrolled in school: - High school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Employed,Estimate; Female: - Not enrolled in school: - High school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate: - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,202450,1247,103786,853,88683,1198,27320,1095,9099,657,52264,1304,15103,827,9663,667,6489,606,1448,277,1726,297,5440,536,1841,347,1188,279,2411,343,98664,881,88659,1062,34330,1046,7730,610,46599,1182,10005,587,6912,520,4520,436,1001,208,1391,310,3093,408,947,215,644,207,1502,323
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",975,177,659,149,586,146,171,76,90,71,325,116,73,49,73,49,60,51,13,20,0,123,0,123,0,123,0,123,0,123,316,107,305,105,91,51,29,29,185,84,11,18,11,18,11,18,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",8446,632,4391,377,3566,351,751,168,563,173,2252,325,825,217,513,180,292,176,96,61,125,71,312,131,89,80,91,68,132,67,4055,459,3265,439,956,229,446,206,1863,318,790,187,512,167,271,123,71,64,170,105,278,114,38,42,30,30,210,98
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",1232,228,615,177,498,141,193,79,82,52,223,84,117,113,73,86,12,18,0,123,61,77,44,67,0,123,0,123,44,67,617,170,574,175,323,147,0,123,251,92,43,67,0,123,0,123,0,123,0,123,43,67,43,67,0,123,0,123
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",3593,397,2085,336,1730,312,745,226,142,70,843,278,355,158,229,114,162,94,56,69,11,18,126,104,78,70,48,76,0,123,1508,244,1273,227,460,164,155,89,658,177,235,146,182,134,141,120,0,123,41,64,53,67,48,64,0,123,5,11
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1272,166,718,139,696,135,116,58,7,12,573,129,22,24,22,24,0,123,15,21,7,11,0,123,0,123,0,123,0,123,554,128,510,108,127,64,26,30,357,95,44,53,44,53,11,18,33,50,0,123,0,123,0,123,0,123,0,123
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",342,90,157,66,157,66,42,28,8,12,107,56,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,185,74,185,74,104,58,0,123,81,40,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",6101,964,2557,389,2487,392,684,237,186,137,1617,356,70,44,25,28,25,28,0,123,0,123,45,35,0,123,10,16,35,31,3544,681,3501,679,1902,461,183,129,1416,367,43,42,43,42,43,42,0,123,0,123,0,123,0,123,0,123,0,123
