GEO.id,GEO.id2,GEO.display-label,B14005_001E,B14005_001M,B14005_002E,B14005_002M,B14005_003E,B14005_003M,B14005_004E,B14005_004M,B14005_005E,B14005_005M,B14005_006E,B14005_006M,B14005_007E,B14005_007M,B14005_008E,B14005_008M,B14005_009E,B14005_009M,B14005_010E,B14005_010M,B14005_011E,B14005_011M,B14005_012E,B14005_012M,B14005_013E,B14005_013M,B14005_014E,B14005_014M,B14005_015E,B14005_015M,B14005_016E,B14005_016M,B14005_017E,B14005_017M,B14005_018E,B14005_018M,B14005_019E,B14005_019M,B14005_020E,B14005_020M,B14005_021E,B14005_021M,B14005_022E,B14005_022M,B14005_023E,B14005_023M,B14005_024E,B14005_024M,B14005_025E,B14005_025M,B14005_026E,B14005_026M,B14005_027E,B14005_027M,B14005_028E,B14005_028M,B14005_029E,B14005_029M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Male:,Margin of Error!!Total:!!Male:,Estimate!!Total:!!Male:!!Enrolled in school:,Margin of Error!!Total:!!Male:!!Enrolled in school:,Estimate!!Total:!!Male:!!Enrolled in school:!!Employed,Margin of Error!!Total:!!Male:!!Enrolled in school:!!Employed,Estimate!!Total:!!Male:!!Enrolled in school:!!Unemployed,Margin of Error!!Total:!!Male:!!Enrolled in school:!!Unemployed,Estimate!!Total:!!Male:!!Enrolled in school:!!Not in labor force,Margin of Error!!Total:!!Male:!!Enrolled in school:!!Not in labor force,Estimate!!Total:!!Male:!!Not enrolled in school:,Margin of Error!!Total:!!Male:!!Not enrolled in school:,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Estimate!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Employed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Employed,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Estimate!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force,Margin of Error!!Total:!!Male:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force,Estimate!!Total:!!Female:,Margin of Error!!Total:!!Female:,Estimate!!Total:!!Female:!!Enrolled in school:,Margin of Error!!Total:!!Female:!!Enrolled in school:,Estimate!!Total:!!Female:!!Enrolled in school:!!Employed,Margin of Error!!Total:!!Female:!!Enrolled in school:!!Employed,Estimate!!Total:!!Female:!!Enrolled in school:!!Unemployed,Margin of Error!!Total:!!Female:!!Enrolled in school:!!Unemployed,Estimate!!Total:!!Female:!!Enrolled in school:!!Not in labor force,Margin of Error!!Total:!!Female:!!Enrolled in school:!!Not in labor force,Estimate!!Total:!!Female:!!Not enrolled in school:,Margin of Error!!Total:!!Female:!!Not enrolled in school:,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Employed,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Unemployed,Estimate!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Employed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Employed,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Unemployed,Estimate!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force,Margin of Error!!Total:!!Female:!!Not enrolled in school:!!Not high school graduate:!!Not in labor force
0600000US0900100000,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900104720,900104720,"Bethel town, Fairfield County, Connecticut",1210,346,610,207,569,206,118,75,54,39,397,193,41,57,41,57,41,57,0,20,0,20,0,20,0,20,0,20,0,20,600,238,482,189,128,83,0,20,354,182,118,129,118,129,21,34,0,20,97,123,0,20,0,20,0,20,0,20
0600000US0900108070,900108070,"Bridgeport town, Fairfield County, Connecticut",8895,628,4155,446,3500,385,600,196,427,139,2473,320,655,222,320,161,179,130,23,26,118,87,335,144,82,72,159,121,94,67,4740,428,4183,432,1334,268,305,107,2544,385,557,153,326,107,177,100,110,68,39,40,231,114,89,88,40,38,102,79
0600000US0900108980,900108980,"Brookfield town, Fairfield County, Connecticut",916,318,466,158,433,153,132,114,5,9,296,106,33,29,11,17,0,20,0,20,11,17,22,25,22,25,0,20,0,20,450,218,441,218,151,92,0,20,290,196,9,14,9,14,9,14,0,20,0,20,0,20,0,20,0,20,0,20
0600000US0900118500,900118500,"Danbury town, Fairfield County, Connecticut",4049,462,2182,307,1842,269,636,197,160,85,1046,234,340,154,230,128,162,113,34,39,34,39,110,98,75,84,0,30,35,55,1867,320,1732,310,645,223,168,97,919,242,135,118,128,118,128,118,0,30,0,30,7,15,0,30,0,30,7,15
0600000US0900118850,900118850,"Darien town, Fairfield County, Connecticut",1280,283,686,219,686,219,189,157,0,24,497,145,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,594,171,504,150,130,92,0,24,374,104,90,76,80,75,36,54,44,56,0,24,10,16,0,24,0,24,10,16
0600000US0900123890,900123890,"Easton town, Fairfield County, Connecticut",384,134,217,104,217,104,28,49,0,18,189,92,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,167,93,167,93,11,19,27,44,129,81,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0600000US0900126620,900126620,"Fairfield town, Fairfield County, Connecticut",5613,498,2358,304,2275,297,513,150,157,131,1605,228,83,73,71,70,23,37,35,59,13,17,12,20,0,30,0,30,12,20,3255,370,3192,357,744,181,216,129,2232,274,63,51,14,23,14,23,0,30,0,30,49,44,28,39,16,22,5,9
0600000US0900133620,900133620,"Greenwich town, Fairfield County, Connecticut",3661,550,1912,455,1744,462,174,110,26,26,1544,428,168,118,134,103,61,68,56,73,17,25,34,49,0,30,0,30,34,49,1749,281,1660,267,236,116,35,36,1389,254,89,75,74,74,14,23,23,35,37,54,15,16,0,30,0,30,15,16
0600000US0900148620,900148620,"Monroe town, Fairfield County, Connecticut",1138,308,653,236,653,236,189,123,0,20,464,167,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,485,183,469,178,136,93,27,44,306,138,16,31,16,31,16,31,0,20,0,20,0,20,0,20,0,20,0,20
0600000US0900150580,900150580,"New Canaan town, Fairfield County, Connecticut",1418,240,677,182,677,182,185,197,5,9,487,141,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,741,232,728,231,47,43,0,24,681,227,13,20,13,20,0,24,0,24,13,20,0,24,0,24,0,24,0,24
0600000US0900150860,900150860,"New Fairfield town, Fairfield County, Connecticut",716,227,446,172,420,173,72,59,19,21,329,161,26,29,26,29,13,22,13,19,0,20,0,20,0,20,0,20,0,20,270,127,270,127,81,54,103,99,86,52,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0600000US0900152980,900152980,"Newtown town, Fairfield County, Connecticut",1491,246,939,205,862,206,163,91,26,21,673,194,77,61,66,58,47,53,0,24,19,24,11,17,0,24,0,24,11,17,552,156,538,154,137,70,30,34,371,128,14,22,14,22,14,22,0,24,0,24,0,24,0,24,0,24,0,24
0600000US0900156060,900156060,"Norwalk town, Fairfield County, Connecticut",3833,449,2061,348,1707,265,482,173,176,98,1049,202,354,193,301,192,202,176,34,52,65,57,53,59,0,30,0,30,53,59,1772,283,1602,258,473,158,176,121,953,232,170,98,147,79,114,74,21,33,12,22,23,46,0,30,0,30,23,46
0600000US0900163480,900163480,"Redding town, Fairfield County, Connecticut",411,137,253,100,253,100,67,56,0,18,186,73,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,158,84,158,84,46,48,0,18,112,69,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
0600000US0900163970,900163970,"Ridgefield town, Fairfield County, Connecticut",1218,236,642,228,580,226,212,166,6,8,362,161,62,49,51,46,14,22,0,24,37,40,11,17,0,24,0,24,11,17,576,134,576,134,225,96,0,24,351,124,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
0600000US0900168170,900168170,"Shelton town, Fairfield County, Connecticut",1777,398,997,263,907,234,265,103,35,51,607,215,90,87,90,87,0,27,43,64,47,62,0,27,0,27,0,27,0,27,780,237,738,238,317,143,32,36,389,149,42,39,22,24,10,17,0,27,12,18,20,30,0,27,0,27,20,30
0600000US0900168310,900168310,"Sherman town, Fairfield County, Connecticut",146,72,36,31,36,31,13,21,0,13,23,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,110,65,102,64,12,17,0,13,90,64,8,13,8,13,8,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900173070,900173070,"Stamford town, Fairfield County, Connecticut",5502,600,2499,343,2030,324,710,203,123,76,1197,292,469,190,395,189,163,103,113,94,119,120,74,58,74,58,0,30,0,30,3003,445,2669,428,760,214,246,112,1663,341,334,179,210,135,113,73,0,30,97,112,124,129,43,56,10,16,71,115
0600000US0900174190,900174190,"Stratford town, Fairfield County, Connecticut",2136,322,1268,265,1000,249,212,126,87,66,701,214,268,137,169,82,145,77,11,17,13,24,99,105,0,30,0,30,99,105,868,195,831,189,254,113,110,84,467,138,37,37,32,34,32,34,0,30,0,30,5,11,0,30,0,30,5,11
0600000US0900177200,900177200,"Trumbull town, Fairfield County, Connecticut",2239,522,1186,370,1010,345,146,82,180,173,684,223,176,152,176,152,160,158,0,27,16,24,0,27,0,27,0,27,0,27,1053,256,998,246,363,138,8,13,627,241,55,51,55,51,9,15,34,40,12,19,0,27,0,27,0,27,0,27
0600000US0900183430,900183430,"Weston town, Fairfield County, Connecticut",670,122,363,102,351,104,28,27,0,20,323,104,12,19,12,19,12,19,0,20,0,20,0,20,0,20,0,20,0,20,307,93,302,92,75,47,0,20,227,81,5,12,5,12,5,12,0,20,0,20,0,20,0,20,0,20,0,20
0600000US0900183500,900183500,"Westport town, Fairfield County, Connecticut",1626,294,1041,246,1009,240,99,63,62,54,848,230,32,28,12,20,12,20,0,24,0,24,20,20,0,24,4,7,16,18,585,146,509,126,48,42,0,24,461,120,76,68,76,68,42,63,0,24,34,38,0,24,0,24,0,24,0,24
0600000US0900186370,900186370,"Wilton town, Fairfield County, Connecticut",1332,261,767,217,767,217,146,94,42,48,579,187,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,565,168,549,167,171,70,0,20,378,149,16,25,0,20,0,20,0,20,0,20,16,25,0,20,0,20,16,25
0600000US0900302060,900302060,"Avon town, Hartford County, Connecticut",997,203,568,154,549,151,92,62,43,40,414,147,19,25,7,12,7,12,0,20,0,20,12,20,12,20,0,20,0,20,429,159,429,159,188,118,0,20,241,98,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
