GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,205796,1235,104967,986,90445,1243,23241,1013,8180,704,59024,1425,14522,911,10963,803,6654,611,1996,395,2313,431,3559,457,1327,272,976,250,1256,232,100829,914,91220,1036,30209,869,8089,586,52922,1079,9609,716,7118,568,4216,481,1133,249,1769,325,2491,411,697,192,549,183,1245,304
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",1078,173,627,127,545,121,158,74,46,41,341,107,82,55,63,57,63,57,0,19,0,19,19,30,0,19,19,30,0,19,451,111,420,99,180,67,0,19,240,87,31,37,31,37,31,37,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",8891,607,4632,462,3549,424,810,239,742,185,1997,239,1083,224,615,185,229,97,189,104,197,96,468,189,164,117,216,125,88,52,4259,472,3683,417,906,228,584,148,2193,275,576,186,287,97,110,69,131,70,46,40,289,142,56,52,96,62,137,105
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",800,187,479,150,444,134,160,83,33,38,251,104,35,42,13,20,13,20,0,19,0,19,22,36,0,19,0,19,22,36,321,124,321,124,116,89,16,23,189,78,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",5280,488,2394,385,1991,338,603,210,298,144,1090,237,403,157,250,129,137,79,55,63,58,91,153,94,71,66,57,57,25,37,2886,352,2747,346,1128,251,290,137,1329,245,139,88,139,88,60,49,49,57,30,47,0,28,0,28,0,28,0,28
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1527,192,696,147,688,150,44,36,83,62,561,112,8,16,8,16,8,16,0,22,0,22,0,22,0,22,0,22,0,22,831,147,831,147,125,77,65,53,641,152,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",446,118,220,75,205,75,74,57,8,13,123,61,15,22,15,22,0,17,0,17,15,22,0,17,0,17,0,17,0,17,226,86,213,81,26,33,14,23,173,62,13,19,13,19,13,19,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",5293,370,2569,264,2289,257,484,110,143,63,1662,223,280,123,256,120,77,43,43,60,136,108,24,18,0,28,8,11,16,19,2724,276,2646,263,780,169,87,59,1779,205,78,61,13,20,0,28,0,28,13,20,65,58,11,18,34,52,20,19
