GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,Estimate; Male: - Enrolled in school: - Employed,Margin of Error; Male: - Enrolled in school: - Employed,Estimate; Male: - Enrolled in school: - Unemployed,Margin of Error; Male: - Enrolled in school: - Unemployed,Estimate; Male: - Enrolled in school: - Not in labor force,Margin of Error; Male: - Enrolled in school: - Not in labor force,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Male: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Male: - Not enrolled in school: - Not high school graduate:,Margin of Error; Male: - Not enrolled in school: - Not high school graduate:,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Male: - Not enrolled in school: - Not high school graduate: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,Estimate; Female: - Enrolled in school: - Employed,Margin of Error; Female: - Enrolled in school: - Employed,Estimate; Female: - Enrolled in school: - Unemployed,Margin of Error; Female: - Enrolled in school: - Unemployed,Estimate; Female: - Enrolled in school: - Not in labor force,Margin of Error; Female: - Enrolled in school: - Not in labor force,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency):,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Employed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Unemployed,Estimate; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Margin of Error; Female: - Not enrolled in school: - High school graduate (includes equivalency): - Not in labor force,Estimate; Female: - Not enrolled in school: - Not high school graduate:,Margin of Error; Female: - Not enrolled in school: - Not high school graduate:,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Employed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Employed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Unemployed,Estimate; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force,Margin of Error; Female: - Not enrolled in school: - Not high school graduate: - Not in labor force
0400000US09,09,Connecticut,205681,1275,105116,828,90615,1036,24040,924,9056,671,57519,1251,14501,744,10076,625,5881,491,2014,307,2181,352,4425,478,1464,286,1257,286,1704,308,100565,985,91915,1138,29996,936,8551,597,53368,1393,8650,483,6236,500,3611,379,1066,235,1559,308,2414,382,637,176,559,166,1218,296
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",997,198,546,160,510,154,162,77,71,76,277,108,36,28,22,25,14,21,8,14,0,19,14,23,0,19,14,23,0,19,451,153,432,138,195,92,24,20,213,91,19,32,19,32,19,32,0,19,0,19,0,19,0,19,0,19,0,19
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",8730,560,4422,389,3298,367,494,169,646,169,2158,282,1124,210,537,165,175,95,192,86,170,90,587,183,168,95,185,100,234,103,4308,390,3643,351,896,198,437,158,2310,341,665,145,405,149,194,100,193,116,18,30,260,132,63,47,95,70,102,100
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",789,178,372,113,324,100,99,61,72,52,153,70,48,42,30,37,30,37,0,19,0,19,18,29,0,19,0,19,18,29,417,143,359,123,100,66,18,28,241,97,58,81,0,19,0,19,0,19,0,19,58,81,58,81,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",5103,475,2597,365,2172,341,928,220,352,183,892,194,425,196,271,167,69,58,104,99,98,115,154,102,98,85,39,50,17,25,2506,376,2245,389,1041,248,223,112,981,226,261,145,230,140,99,89,27,45,104,109,31,43,29,43,0,28,2,5
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",1404,214,805,157,776,153,108,63,83,56,585,130,29,31,14,21,0,22,0,22,14,21,15,25,0,22,15,25,0,22,599,150,599,150,74,58,36,38,489,141,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",460,112,247,77,247,77,105,59,20,23,122,58,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,213,80,213,80,52,42,7,11,154,67,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",4950,468,2237,289,2085,271,409,155,146,65,1530,209,152,86,139,82,40,28,0,28,99,83,13,15,0,28,8,11,5,9,2713,320,2639,325,723,186,64,56,1852,245,74,48,26,30,26,30,0,28,0,28,48,39,10,14,22,33,16,16
